,horse_age,horse_father,horse_id,horse_maternalgrandfather,horse_maternalgrandmother,horse_mother,horse_name,horse_paternalgrandfather,horse_paternalgrandmother,セリ取引価格,主な勝鞍,募集情報,獲得賞金,生年月日,生産者,産地,調教師,近親馬,通算成績,馬主
0,現役　牡3歳　青鹿毛,グランプリボス,2016103713,スペシャルウィーク,ヴェスタ,バーレーヘッズ,モズベイビー,サクラバクシンオー,ロージーミスト,"
-
",19'３歳未勝利,,"


1,015万円 (中央)

",2016年4月15日,目黒牧場,日高町,牧浦充徳 (栗東),モズワッショイ、サプライズハンター,5戦1勝 [1-1-1-2],キャピタル・システム
0,現役　牡3歳　黒鹿毛,メイショウボーラー,2016102207,シニスターミニスター,フォーリアクイーン,シニスタークイーン,メイショウメイリン,タイキシャトル,ナイスレイズ,"518万円 (2017年 北海道サマーセール)
",,,"


630万円 (中央)

",2016年4月2日,宮内牧場,浦河町,西園正都 (栗東),テーオーエリザベス、シニスタークイーンの2018,5戦0勝 [0-2-1-2],松本好雄
0,現役　牝3歳　栗毛,ストロングリターン,2016105008,フジキセキ,アローアゲイン,グレースエポナ,グレースアンバー,シンボリクリスエス,コートアウト,"
-
",19'3歳未勝利,,"


1,130万円 (中央)

",2016年5月9日,社台ファーム,千歳市,高柳大輔 (栗東),イディナローク、グレースエポナの2012,6戦1勝 [1-0-4-1],吉田千津
0,現役　牡3歳　青鹿毛,ロードアルティマ,2016101473,カリズマティック,オルビタル,ステッバイステップ,ゴールデンチョイス,Seeking the Gold,Secrettame,"
-
",,,"


350万円 (中央)

",2016年3月23日,元茂牧場,新ひだか町,武藤善則 (美浦),ゴールデンスピン、ファストソング,9戦0勝 [0-1-0-8],田島榮二郎
0,現役　牝3歳　栗毛,オルフェーヴル,2016100180,Bertolini,エシュクアルバー,ウインアンジェラス,クーファピーカブー,ステイゴールド,オリエンタルアート,"
-
",,,"


455万円 (中央)

",2016年2月14日,川島牧場,新冠町,浅見秀一 (栗東),ゼンノウラヌス、クーファナイン,6戦0勝 [0-1-1-4],大迫久美子
0,現役　牡3歳　栗毛,グランプリボス,2016106213,Unbridled's Song,Fall Fashion,ヴェルナッツァ,ウフフ,サクラバクシンオー,ロージーミスト,"540万円 (2017年 北海道サマーセール)
",,,"
0万円



",2016年3月30日,藤沢牧場,新ひだか町,牧田和弥 (栗東),ホスト、カレン,4戦0勝 [0-0-0-4],内田玄祥
0,現役　牝3歳　鹿毛,ワイルドラッシュ,2016101345,フジキセキ,タイキミステリー,ナムラナデシコ,クリノベロニカ,Wild Again,Rose Park,"669万円 (2017年 北海道サマーセール)
",,,"


75万円 (中央)

",2016年4月20日,平野牧場,新ひだか町,南井克巳 (栗東),ナムラカブト、シューレンベルグ,6戦0勝 [0-0-0-6],栗本博晴
0,現役　牡3歳　栗毛,スクワートルスクワート,2016109083,スペシャルウィーク,ハリケーンキャット,モルフェスペシャル,スズカモンド,Marquetry,Lost the Code,"1,728万円 (2018年 JRAブリーズアップセール)
",,,"


270万円 (中央)

",2016年4月27日,町屋勝幸,青森県,谷潔 (栗東),シングンパワー、ヴィクトリーパワー,12戦0勝 [0-0-0-12],永井啓弍
0,現役　牡3歳　栗毛,アポロキングダム,2016103686,グランドオペラ,デーエスローマン,キタノオペラ,ブルベアブロンゾ,Lemon Drop Kid,Bella Gatto,"561万円 (2017年 北海道サマーセール)
",,,"


50万円 (中央)

",2016年4月10日,三輪幸子,日高町,川村禎彦 (栗東),アポロダッシュ、アポロマーキュリー,4戦0勝 [0-0-0-4],ブルアンドベア
0,現役　牡3歳　鹿毛,グランプリボス,2016103711,アグネスタキオン,ベストブート,ジーピークロス,モズクロス,サクラバクシンオー,ロージーミスト,"
-
",,,"
0万円



",2016年4月15日,目黒牧場,日高町,高橋亮 (栗東),オオアナカモ,3戦0勝 [0-0-0-3],キャピタル・システム
0,抹消　牝　鹿毛,パドトロワ,2016105232,ゼンノロブロイ,マニエラ,マニエリスム,グランエソール,スウェプトオーヴァーボード,グランパドドゥ,"1,080万円 (2018年 千葉サラブレッド・セール)
",,,"
0万円



",2016年3月22日,社台ファーム,千歳市,安田隆行 (栗東),マニエリスムの2015、マニエリスムの2017,2戦0勝 [0-0-0-2],村上龍太郎
0,現役　牝3歳　黒鹿毛,ストラヴィンスキー,2016109137,シンボリクリスエス,エイシンオープン,マイネアペリオ,クリノマレンゴ,Nureyev,Fire the Groom,"399万円 (2018年 九州トレーニングセール)
",,,"
0万円



",2016年5月1日,橋口幸一郎,宮崎県,蛯名利弘 (美浦),マイネアペリオの2014、マイネアペリオの2017,4戦0勝 [0-0-0-4],栗本博晴
0,抹消　牡　黒鹿毛,アーネストリー,2016105953,アドマイヤムーン,モケット,モンタージュ,イチバンダイコ,グラスワンダー,レットルダムール,"
-
",,,"
0万円



",2016年2月4日,田原橋本牧場,新ひだか町,蛯名利弘 (美浦),フレッシュステージ、モンタージュの2018,3戦0勝 [0-0-0-3],西村新一郎
0,現役　牝3歳　鹿毛,メイショウボーラー,2016102435,サクラバクシンオー,リーインフォースト,ピエネヴェーレ,カネトシウイングス,タイキシャトル,ナイスレイズ,"
-
",,,"
0万円



",2016年4月23日,高昭牧場,浦河町,高橋康之 (栗東),カネトシボヌール、カネトシハートフル,1戦0勝 [0-0-0-1],兼松昌男
0,現役　牡3歳　栗毛,ヘニーヒューズ,2016100320,Seeking the Gold,Princess Mitterand,オーヴァーアンダー,スナイプ,ヘネシー,Meadow Flyer,"
-
",19'３歳未勝利,,"


940万円 (中央)

",2016年2月14日,須崎牧場,新冠町,清水久詞 (栗東),オーヴァーライト、アースシンフォニー,3戦1勝 [1-2-0-0],カナヤマホールディングス
0,現役　牡3歳　栗毛,スマートファルコン,2016106450,サウスヴィグラス,ベストゾーン,プリティスター,タイサイ,ゴールドアリュール,ケイシュウハーブ,"496万円 (2017年 北海道サマーセール)
",,,"


600万円 (中央)

",2016年2月9日,大作ステーブル,新冠町,田所秀孝 (栗東),イトシヤヒナヒメ、シゲルハウメア,5戦0勝 [0-3-0-2],ＫＴレーシング
0,現役　牝3歳　鹿毛,Temple City,2016110067,Malibu Moon,Blue Moon,Malibu Pier,○外ノイーヴァ,Dynaformer,Curriculum,"
-
",,,"


660万円 (中央)

",2016年1月26日,Spendthrift Farm LLC,米,安田翔伍 (栗東),,6戦0勝 [0-1-3-2],ノースヒルズ
0,現役　牝3歳　鹿毛,タイムパラドックス,2016102459,クロフネ,レナンセラ,ジュエルビスティー,エメラルドカット,ブライアンズタイム,ジョリーザザ,"
-
",,,"


75万円 (中央)

",2016年4月24日,小林仁,浦河町,的場均 (美浦),ブルーメーア、ジャカ,4戦0勝 [0-0-0-4],山上和良
